name,asin,keyword,price,stars,rating_count,url
Neuftech® 2ème 2.5'' HDD SSD Adaptateur de Caddy Disque Dur 9.5 mm SATA vers SATA pour HP Dell Acer ASUS Lenovo Ordinateurs Portables,B012A9HIGW,HDD,9,"4,5 sur 5 étoiles",2 771 évaluations,https://www.amazon.fr/Neuftech-Adaptateur-Disque-Ordinateurs-Portables/dp/B012A9HIGW/ref=sr_1_102
"Seagate Surveillance HDD Skyhawk 3.5"" 4000 Go Série ATA III",B08TV9TFPB,HDD,99,"4,5 sur 5 étoiles",61 évaluations,https://www.amazon.fr/Seagate-Surveillance-Skyhawk-4000-S%C3%A9rie/dp/B08TV9TFPB/ref=sr_1_101
"20 To Disque dur externe USB 3.1 Type-C Professional Portable HDD 3 ans Warranty Reliable Backup for Gaming/Students/Professionals, (20 To, noir)",B0BLK8YLYT,HDD,109,"1,0 sur 5 étoiles",6 évaluations,https://www.amazon.fr/Professional-Portable-Warranty-Reliable-Professionals/dp/B0BLK8YLYT/ref=sr_1_100
"HP 693689-B21 4 to 7200RPM 3.5"" SAS 6G HDD (reconditionné)",B07RMKNHM6,HDD,101,,,https://www.amazon.fr/HP-693689-B21-7200RPM-3-5-reconditionn%C3%A9/dp/B07RMKNHM6/ref=sr_1_99
"Inateck Double Cadre de Montage Interne pour Disque Dur HDD/SSD de 2,5"", 2,5"" vers 3,5"" pour 2 SSD/HDD avec câble,ST1002S",B01EGZWHRI,HDD,9,"4,6 sur 5 étoiles",10 647 évaluations,https://www.amazon.fr/Inateck-Montage-Disque-Support-loutil/dp/B01EGZWHRI/ref=sr_1_98
"Disque Dur Externe Toshiba Canvio Basics 1To, Noir, USB 3.2. Gen 1 (HDTB410EK3AA)",B07997KKSK,HDD,52,"4,7 sur 5 étoiles",78 257 évaluations,https://www.amazon.fr/Toshiba-HDTB410EK3AA-Disque-Externe-Portable/dp/B07997KKSK/ref=sr_1_97
"Crucial BX500 240Go CT240BX500SSD1(Z) SSD Interne-jusqu’à 540 MB/s (3D NAND, SATA, 2,5 pouces)",B07G3KRZBX,SSD,€,"4,7 sur 5 étoiles",17 641 évaluations,https://www.amazon.fr/Crucial-CT240BX500SSD1-Interne-BX500-Pouces/dp/B07G3KRZBX/ref=sr_1_142
"Corsair MP600 Pro XT 8 to Gen4 PCIe x4 NVMe M.2 SSD - Vitesses de Lecture allant Jusqu’à 7 000 Mo/s et d’écriture allant 6 100 Mo/s, TLC NAND Haute Densité, Dissipateur Thermique en Aluminium - Noir",B0BFDKPWPR,SSD,1 279,"4,7 sur 5 étoiles",445 évaluations,https://www.amazon.fr/Corsair-MP600-Gen4-PCIe-NVMe/dp/B0BFDKPWPR/ref=sr_1_140
"Systor Duplicateur NVMe/SATA 1 à 5 M.2 – 24 Go/min – Copieur autonome et effaceur/désinfectant pour plusieurs PCIe M2, disque dur 2,5"" et disques SSD SSD SSD (SYSNVME-HC405)",B09GRQGDQH,SSD,,,,https://www.amazon.fr/Systor-Duplicateur-NVMe-SATA-SYSNVME-HC405/dp/B09GRQGDQH/ref=sr_1_139
"WD Rouge 500Go NAS SSD 2.5"" SATA",B07YFGQLYK,SSD,59,"4,7 sur 5 étoiles",1 538 évaluations,https://www.amazon.fr/Western-Digital-Rouge-500-SATA/dp/B07YFGQLYK/ref=sr_1_138
"Netac SSD 2.5 Pouces 128Go, Disque Dur Interne SSD Sata 3.0 (N530S Gris Argent 3D Nand)",B09DCK767L,SSD,18,"4,5 sur 5 étoiles",561 évaluations,https://www.amazon.fr/Netac-Disques-Internes-Pouces-Argent/dp/B09DCK767L/ref=sr_1_137
"Intenso SSD interne 240Go, High Performance, 2,5"""" (6,3cm), Sata III, 500 Mo/s, noir",B01D3ACIR6,SSD,25,"4,6 sur 5 étoiles",6 547 évaluations,https://www.amazon.fr/Intenso-Interne-240Go-High-Performance/dp/B01D3ACIR6/ref=sr_1_136
Western Digital SSD Green 240G *SN350,B093QL56WR,SSD,31,"4,7 sur 5 étoiles",987 évaluations,https://www.amazon.fr/Western-Digital-Green-240G-SN350/dp/B093QL56WR/ref=sr_1_135
Samsung 870 EVO Disque SSD interne SATA 250 Go (MZ-77E250),B08T1TWQS9,SSD,50,"4,7 sur 5 étoiles",995 évaluations,https://www.amazon.fr/Samsung-MZ-77E250-Disque-interne-SATA/dp/B08T1TWQS9/ref=sr_1_134
"Hikvision Disque Dur Externe 1To, 2.5"" Portable HDD USB-C, USB 3.1, Résistant Aux Chutes, à la Pluie, à la Poussière, avec USB-C C-C, Robuste et Durable HDD pour Mac/PC/PS4/Xbox/Téléphone - S30",B0B5Q9YBM6,SSD,64,"4,4 sur 5 étoiles",664 évaluations,https://www.amazon.fr/Hikvision-Portable-R%C3%A9sistant-Poussi%C3%A8re-T%C3%A9l%C3%A9phone/dp/B0B5Q9YBM6/ref=sr_1_133
Corsair MP600 GS 500 Go Disque SSD M.2 NVMe PCIe Gen4 x4 - Mémoire Haute Densité TLC NAND - M.2 2280 - Compatible DirectStorage - Jusqu’à 4 800 Mo/s – pour Les Ordinateurs Portables PCIe 4.0 - Noir,B0BJKVMDNP,SSD,67,"1,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/Corsair-MP600-Disque-NVMe-PCIe/dp/B0BJKVMDNP/ref=sr_1_132_mod_primary_new
SSD interne 128 Go M.2 PCIe NVMe - 2280 - 3D NAND - MTE110S - TS128GMTE110S,B07CXC32T2,SSD,24,"4,4 sur 5 étoiles",2 205 évaluations,https://www.amazon.fr/Transcend-interne-PCIe-NVMe-TS128GMTE110S/dp/B07CXC32T2/ref=sr_1_131
Integral Disque SSD 250GB SSD M.2 2280 NVME 1.2 PCIe Gen3x4 R-2000MB/s W-1200MB/s M1,B09MG41W7Q,SSD,26,"4,6 sur 5 étoiles",9 évaluations,https://www.amazon.fr/Integral-Disque-Gen3x4-R-2000-W-1200/dp/B09MG41W7Q/ref=sr_1_130
"WD Black SN850 M.2 NVMe SSD, PCIe Gen 4.0, 500 Go, jusqu'à 7 000 Mo/s en Lecture et 4 100 Mo/s en écriture",B08LSYLC65,SSD,119,"4,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/SANDISK-Black-sn850-nvme-500gb/dp/B08LSYLC65/ref=sr_1_129
"Intenso SSD interne 512 Go, Top Performance, 2,5"" (6,3cm), Sata III, noir",B00D1E6RMW,SSD,36,"4,7 sur 5 étoiles",3 082 évaluations,https://www.amazon.fr/Intenso-Performance-Disque-Flash-Interne/dp/B00D1E6RMW/ref=sr_1_128
"Silicon Power 512GB-NVMe-PCIe Gen3x4 M.2 2280 R/W jusqu'à 3, 400/2, 300 Mo/s SSD",B07P7FPBZ5,SSD,42,"4,6 sur 5 étoiles",845 évaluations,https://www.amazon.fr/Silicon-Power-512GB-NVMe-PCIe-Gen3x4-jusqu%C3%A0/dp/B07P7FPBZ5/ref=sr_1_127
"Silicon Power SSD 2TB 3D NAND A55 SLC Cache Performance Boost 2.5 inch SATA III 7mm (0.28"") Internal Solid State Drive",B07SGBJK7H,SSD,109,"3,9 sur 5 étoiles",39 évaluations,https://www.amazon.fr/Silicon-Power-Cache-Performance-Internal/dp/B07SGBJK7H/ref=sr_1_126
Transcend 1To SATA III 6Gb/s SSD230S 2.5” Solid State Drive TS1TSSD230S,B074W7TDPR,SSD,82,"4,6 sur 5 étoiles",879 évaluations,https://www.amazon.fr/Transcend-Solid-State-Drive-1/dp/B074W7TDPR/ref=sr_1_125
"Integral SSD 240 Go Serie C1 Disque interne haute vitesse 2, 5"" Interface SATA III Jusqu'à 6GB/s - Compatible PC/Mac",B07WXHH8B3,SSD,28,"4,3 sur 5 étoiles",8 évaluations,https://www.amazon.fr/Integral-Disque-interne-vitesse-Interface/dp/B07WXHH8B3/ref=sr_1_124_mod_primary_new
"WAVLINK - Adaptateur USB 3.0 vers SATA pour SSD 2,5"" et HDD - Câble USB vers SATA - Adaptateur fixe, 2,5""",B09FLQM6Q7,SSD,12,"4,5 sur 5 étoiles",387 évaluations,https://www.amazon.fr/WAVLINK-Adaptateur-vers-SATA-pour/dp/B09FLQM6Q7/ref=sr_1_123
"OWC Câble de Mise à Niveau HDD pour capteur Thermique numérique en Ligne pour iMac 2011, (OWCDIDIMACHDD11)",B00J42AFUA,SSD,44,"4,6 sur 5 étoiles",993 évaluations,https://www.amazon.fr/OWC-OWCDIDIMacHDD11-C%C3%A2ble-SATA-Disque/dp/B00J42AFUA/ref=sr_1_122
